timestamp,open,high,low,close,volume
2023-01-02,162.79,163.01,162.71,163.0,1118328
2023-01-03,161.55,162.01,160.17,160.27,1319684
2023-01-04,165.5,166.71,161.09,162.41,1000714
2023-01-05,167.24,168.44,166.23,166.83,650049
2023-01-06,166.33,167.5,165.9,167.38,912721
2023-01-09,172.26,172.27,169.87,172.17,1016576
2023-01-10,174.12,175.74,172.12,174.88,733560
2023-01-11,183.96,184.43,183.63,183.92,1033451
2023-01-12,187.87,188.97,186.8,187.29,744985
2023-01-13,190.95,190.98,189.24,190.3,1249250
2023-01-16,184.12,184.27,183.5,184.12,987409
2023-01-17,188.75,188.78,185.72,187.97,920692
2023-01-18,189.72,191.05,186.02,188.13,1026312
2023-01-19,196.41,197.7,192.71,195.99,998527
2023-01-20,189.19,189.49,188.01,189.15,978039
2023-01-23,190.48,192.18,187.95,189.15,1032135
2023-01-24,180.73,185.32,179.93,183.12,1448763
2023-01-25,188.69,189.43,186.59,187.55,1193067
2023-01-26,193.0,193.2,192.81,192.87,1330623
2023-01-27,199.42,203.33,199.09,199.66,1075146
2023-01-30,197.0,199.25,196.01,199.03,1123521
2023-01-31,198.0,198.54,193.99,197.26,706228
2023-02-01,199.61,201.23,199.55,200.33,1261320
2023-02-02,200.09,200.79,197.77,200.43,912299
2023-02-03,198.44,199.29,198.37,198.63,595408
2023-02-06,196.41,199.41,194.91,198.23,938965
2023-02-07,197.16,198.51,195.62,197.83,968612
2023-02-08,195.1,196.08,194.49,194.76,1451008
2023-02-09,199.76,200.58,199.45,200.02,949083
2023-02-10,201.06,202.29,200.57,201.54,1021423
2023-02-13,205.44,206.3,204.64,205.33,1335776
2023-02-14,203.62,204.48,198.83,200.31,875880
2023-02-15,200.52,202.76,200.21,202.5,975775
2023-02-16,201.23,204.22,201.03,202.59,1069234
2023-02-17,202.07,202.35,202.05,202.34,920530
2023-02-20,208.82,209.31,206.93,208.24,1172652
2023-02-21,198.39,198.53,198.37,198.44,1042894
2023-02-22,202.58,204.04,202.02,203.93,849273
2023-02-23,204.34,205.64,201.5,205.35,582247
2023-02-24,205.29,206.3,202.19,204.43,953029
2023-02-27,207.61,211.43,206.19,207.6,680586
2023-02-28,199.66,201.68,197.56,201.54,1028095
2023-03-01,207.68,207.78,205.87,206.35,789843
2023-03-02,209.23,209.24,207.59,207.6,869541
2023-03-03,200.16,200.85,199.85,200.3,1140528
2023-03-06,193.89,194.91,192.68,193.61,999360
2023-03-07,193.08,196.0,188.88,192.27,1233796
2023-03-08,196.01,197.85,193.35,193.57,1019536
2023-03-09,189.8,192.52,189.37,190.2,857107
2023-03-10,193.71,194.34,193.09,193.43,975775
2023-03-13,198.68,200.04,198.41,199.13,984596
2023-03-14,202.63,203.13,201.31,202.82,1028662
2023-03-15,203.74,204.54,201.72,202.37,1142396
2023-03-16,203.58,204.85,202.31,204.27,1101681
2023-03-17,205.32,205.64,204.33,204.46,1154991
2023-03-20,205.08,210.71,204.27,207.58,1029793
2023-03-21,208.36,210.9,207.1,209.59,732639
2023-03-22,212.16,213.52,207.96,208.11,872976
2023-03-23,212.38,215.71,208.2,209.29,1151227
2023-03-24,210.15,214.95,210.11,212.92,950906
2023-03-27,217.25,217.77,215.74,216.23,1227102
2023-03-28,220.88,221.98,220.72,221.59,697563
2023-03-29,226.19,226.34,218.62,223.36,848787
2023-03-30,224.13,224.71,222.35,223.56,1318062
2023-03-31,219.82,220.98,219.58,220.73,872652
2023-04-03,224.23,224.46,223.16,223.63,1165460
2023-04-04,224.88,227.14,222.59,225.94,1052407
2023-04-05,225.42,226.61,222.68,224.48,1124419
2023-04-06,217.87,221.1,217.42,218.44,1267653
2023-04-07,222.99,223.32,219.54,221.41,897718
2023-04-10,219.84,221.33,219.7,221.18,1419417
2023-04-11,228.84,229.33,225.7,227.52,1233048
2023-04-12,227.71,229.94,226.53,228.74,1271518
2023-04-13,236.08,236.84,235.69,236.7,1109302
2023-04-14,239.3,240.14,236.92,239.87,944449
2023-04-17,231.77,233.55,227.76,232.41,852944
2023-04-18,228.74,233.37,224.37,232.07,739095
2023-04-19,230.75,232.39,230.51,230.75,1352585
2023-04-20,236.8,242.32,235.46,239.44,1197944
2023-04-21,235.17,235.52,232.95,234.42,1106324
2023-04-24,234.04,238.04,229.91,234.97,886624
2023-04-25,230.84,232.28,230.15,230.42,873760
2023-04-26,229.35,230.42,229.02,229.97,721757
2023-04-27,236.44,239.11,235.08,237.6,1258398
2023-04-28,241.09,243.22,237.17,238.29,938485
2023-05-01,236.72,236.94,233.3,234.0,1288126
2023-05-02,237.45,237.9,232.85,235.34,903915
2023-05-03,239.91,241.57,237.86,239.75,858436
2023-05-04,234.94,241.53,233.86,236.83,768251
2023-05-05,229.89,235.03,228.73,231.01,1026193
2023-05-08,230.44,232.32,227.91,228.85,1085123
