timestamp,open,high,low,close,volume
2023-01-02,150.51,151.11,150.41,151.0,957211
2023-01-03,149.79,151.72,149.28,151.19,842813
2023-01-04,145.33,147.94,144.44,146.53,712320
2023-01-05,143.57,144.43,141.24,142.71,680691
2023-01-06,144.78,144.93,142.62,143.62,697564
2023-01-09,146.0,146.21,143.12,145.23,1433730
2023-01-10,145.91,146.1,144.32,145.0,1069139
2023-01-11,143.36,145.97,143.29,144.26,1057632
2023-01-12,143.38,143.38,141.83,143.08,1046050
2023-01-13,141.06,142.65,140.51,142.11,779559
2023-01-16,144.03,145.98,143.92,144.75,1038337
2023-01-17,146.5,148.3,145.34,146.05,1219040
2023-01-18,143.24,143.45,142.21,143.06,1281487
2023-01-19,149.29,150.32,147.42,148.71,1092797
2023-01-20,153.11,153.74,152.23,152.31,1027895
2023-01-23,156.82,157.31,156.38,156.67,1204946
2023-01-24,154.37,156.1,153.71,154.87,696243
2023-01-25,158.89,160.36,157.37,158.22,1388450
2023-01-26,163.69,164.09,160.63,161.3,959841
2023-01-27,158.48,159.61,158.35,159.29,998685
2023-01-30,155.61,159.23,153.44,156.7,789585
2023-01-31,162.15,163.21,160.22,160.93,986151
2023-02-01,161.08,162.62,160.99,161.04,1092135
2023-02-02,155.42,155.97,152.28,155.56,795950
2023-02-03,158.46,158.74,157.14,157.44,926357
2023-02-06,156.48,158.56,155.55,156.57,1027509
2023-02-07,157.23,159.99,157.01,157.33,502165
2023-02-08,156.92,159.51,155.88,157.44,870168
2023-02-09,154.8,160.06,153.75,158.4,897961
2023-02-10,159.27,159.66,157.6,158.86,901624
2023-02-13,159.8,162.56,158.72,159.05,1232659
2023-02-14,161.69,161.77,160.41,160.62,1415568
2023-02-15,155.64,161.91,153.93,156.56,960190
2023-02-16,159.63,159.84,158.74,158.85,852212
2023-02-17,163.15,163.66,162.44,162.49,958586
2023-02-20,162.2,162.57,162.12,162.19,724265
2023-02-21,171.73,171.82,169.74,171.67,1119760
2023-02-22,179.47,179.67,178.79,179.54,919794
2023-02-23,172.6,172.73,172.43,172.51,1043191
2023-02-24,174.73,177.08,174.58,176.56,721821
2023-02-27,169.53,171.37,167.06,168.95,1059658
2023-02-28,166.88,167.69,165.89,166.12,916835
2023-03-01,166.08,166.34,164.34,165.4,856008
2023-03-02,171.26,171.39,169.09,170.23,985320
2023-03-03,172.34,174.93,168.12,172.02,1052574
2023-03-06,170.02,171.91,170.01,170.96,1178448
2023-03-07,165.98,168.8,165.14,168.53,798455
2023-03-08,165.12,166.83,164.65,166.19,621551
2023-03-09,167.71,168.35,167.39,168.1,807616
2023-03-10,169.86,170.49,166.0,169.11,591932
2023-03-13,175.32,175.41,174.13,174.38,976234
2023-03-14,177.21,184.53,177.12,180.38,1354769
2023-03-15,177.13,177.72,176.94,177.68,759403
2023-03-16,174.67,178.46,173.85,174.61,1077084
2023-03-17,175.67,176.43,171.21,173.74,773189
2023-03-20,172.13,172.66,168.79,171.67,814632
2023-03-21,174.31,176.65,172.87,175.15,787372
2023-03-22,171.52,174.56,170.51,173.98,1013159
2023-03-23,177.26,178.67,175.83,177.46,1075608
2023-03-24,178.04,178.31,177.43,177.94,1041474
2023-03-27,183.51,184.85,182.25,182.37,973769
2023-03-28,191.95,193.38,191.92,192.07,730687
2023-03-29,197.58,198.36,196.93,197.17,1063327
2023-03-30,199.09,199.18,198.05,198.48,1124877
2023-03-31,199.6,200.68,199.47,200.52,1088550
2023-04-03,202.83,203.14,199.82,202.91,900421
2023-04-04,198.55,199.92,197.78,199.78,822289
2023-04-05,200.27,201.56,198.35,199.27,1129756
2023-04-06,197.33,203.44,197.05,199.6,1108776
2023-04-07,202.61,205.95,202.54,203.15,1171279
2023-04-10,200.47,203.23,199.18,200.83,1148257
2023-04-11,202.49,203.48,202.04,202.17,992927
2023-04-12,197.24,197.34,196.84,197.31,1103087
2023-04-13,198.21,200.93,198.11,198.8,844193
2023-04-14,199.71,200.51,194.4,200.22,978140
2023-04-17,196.24,196.94,193.49,195.42,1014357
2023-04-18,196.16,199.02,194.91,196.66,838835
2023-04-19,194.59,195.07,192.57,194.58,1411942
2023-04-20,192.48,194.98,191.53,194.1,1023649
2023-04-21,198.41,199.08,198.38,199.01,1270103
2023-04-24,191.65,192.65,187.99,190.63,1125971
2023-04-25,190.42,193.83,190.25,193.68,1168482
2023-04-26,188.81,188.95,186.28,188.69,741601
2023-04-27,191.26,192.51,189.33,190.29,745708
2023-04-28,183.27,184.61,183.11,184.03,1091958
2023-05-01,188.86,189.12,188.53,188.59,763304
2023-05-02,197.89,198.61,196.88,196.96,874407
2023-05-03,202.03,203.08,201.78,201.9,1278977
2023-05-04,208.86,209.56,205.17,208.84,662201
2023-05-05,205.05,206.07,203.7,204.52,851692
2023-05-08,200.19,201.39,199.29,201.05,827529
2023-05-09,198.69,201.53,196.57,197.72,1280679
2023-05-10,200.74,202.53,200.49,200.53,971126
2023-05-11,205.88,206.21,204.31,205.56,1237523
2023-05-12,206.66,207.41,204.21,205.53,807551
2023-05-15,203.67,205.56,203.02,205.24,1372475
2023-05-16,212.15,212.63,209.28,210.67,794515
2023-05-17,214.35,215.0,213.61,214.87,814473
2023-05-18,221.32,223.52,220.32,221.58,1140360
2023-05-19,219.31,220.99,216.36,218.57,1349483
2023-05-22,222.65,223.01,220.77,221.16,560956
2023-05-23,218.79,219.82,218.21,218.31,1055717
2023-05-24,224.15,224.64,220.09,222.12,1245075
2023-05-25,225.79,226.73,224.4,224.72,805393
2023-05-26,226.01,227.66,222.72,224.82,836299
2023-05-29,221.26,221.73,217.89,218.89,1073657
2023-05-30,221.03,222.3,217.64,220.21,729546
2023-05-31,231.29,231.53,227.13,227.45,980651
2023-06-01,229.98,232.25,228.8,230.52,892380
2023-06-02,236.67,236.91,236.11,236.2,937552
2023-06-05,235.21,235.87,234.95,235.23,1154429
2023-06-06,243.93,246.52,243.66,245.19,1477765
2023-06-07,243.99,246.3,243.44,245.99,736307
2023-06-08,249.84,251.59,249.56,250.92,860613
2023-06-09,253.87,254.67,248.23,249.65,974445
2023-06-12,253.55,254.05,251.56,252.66,1275623
2023-06-13,264.49,264.56,260.33,262.79,1028602
2023-06-14,266.68,272.0,266.05,269.3,945920
2023-06-15,265.16,266.44,264.42,266.02,1108283
2023-06-16,265.54,268.01,261.92,264.52,1200266
2023-06-19,266.48,267.3,262.47,263.36,1165513
2023-06-20,270.72,274.05,269.38,269.65,1264121
2023-06-21,279.76,280.4,275.26,277.67,849986
2023-06-22,272.44,274.89,272.15,274.18,809679
2023-06-23,276.6,282.2,276.23,281.48,1126207
2023-06-26,285.03,289.07,282.94,286.22,949953
2023-06-27,284.1,284.89,282.54,282.63,861454
2023-06-28,280.96,281.37,279.55,280.21,987265
2023-06-29,282.7,282.93,281.81,282.35,1297833
2023-06-30,280.29,280.42,278.22,278.71,840025
2023-07-03,267.92,270.21,266.01,267.38,1137321
2023-07-04,273.07,276.36,271.59,272.42,691708
2023-07-05,273.31,273.54,272.62,273.5,785542
2023-07-06,274.71,276.64,273.87,274.49,855880
2023-07-07,263.72,266.88,262.26,263.87,1061669
2023-07-10,255.35,258.11,254.54,255.79,491003
2023-07-11,252.33,254.01,251.09,251.87,1008305
2023-07-12,250.22,255.65,249.5,250.22,1196648
2023-07-13,261.71,262.47,259.55,261.99,944214
2023-07-14,269.15,270.68,267.96,270.3,974812
2023-07-17,270.96,273.1,269.29,271.35,1311313
2023-07-18,278.22,280.0,275.97,276.4,1186358
2023-07-19,266.8,271.83,265.56,270.12,857416
2023-07-20,274.47,277.32,272.99,274.93,961904
2023-07-21,271.67,273.22,269.79,270.49,1060775
2023-07-24,266.68,268.85,265.45,266.73,721996
2023-07-25,267.07,267.38,264.65,266.01,1119341
2023-07-26,269.32,270.27,266.99,268.15,1198806
2023-07-27,262.26,264.94,261.2,264.22,1225770
2023-07-28,251.53,251.9,251.32,251.87,928943
2023-07-31,249.72,251.44,247.57,251.02,955971
2023-08-01,248.6,249.12,245.43,247.65,1227841
2023-08-02,241.89,244.39,241.25,244.07,1049706
2023-08-03,235.15,238.12,233.16,235.9,1278713
2023-08-04,237.71,241.19,236.52,239.43,1145555
2023-08-07,229.31,230.65,228.41,229.8,1266988
2023-08-08,226.84,226.91,223.96,226.49,858788
2023-08-09,232.05,239.47,230.19,232.2,922814
