timestamp,open,high,low,close,volume
2023-01-02,91.7,92.17,91.67,92.0,1355467
2023-01-03,94.28,94.74,92.68,93.39,995471
2023-01-04,96.88,97.27,96.8,97.06,587509
2023-01-05,93.47,93.7,91.64,93.0,933766
2023-01-06,93.24,96.12,91.79,94.43,1436664
2023-01-09,95.22,95.81,94.7,95.41,839851
2023-01-10,96.78,97.31,96.18,96.97,896945
2023-01-11,98.8,99.55,98.42,98.78,930694
2023-01-12,100.51,100.73,100.05,100.47,1080042
2023-01-13,98.56,98.78,98.56,98.67,806338
2023-01-16,98.66,98.67,97.58,98.51,1061117
2023-01-17,98.21,98.23,96.43,97.37,1261523
2023-01-18,95.01,95.88,93.05,94.67,908259
2023-01-19,95.93,96.28,95.85,95.99,1218450
2023-01-20,98.03,99.05,96.46,97.98,600647
2023-01-23,95.45,95.97,95.22,95.84,985403
2023-01-24,97.42,97.42,96.59,96.67,812126
2023-01-25,96.01,97.88,95.93,97.6,1000245
2023-01-26,100.52,102.58,99.77,101.8,1106605
2023-01-27,102.39,102.69,101.08,101.5,922058
2023-01-30,101.29,101.45,100.12,101.1,1000970
2023-01-31,105.03,105.46,103.64,104.67,1478829
2023-02-01,103.95,105.01,103.1,104.2,847654
2023-02-02,106.58,107.71,106.03,107.11,820701
2023-02-03,107.15,109.48,106.47,107.95,887971
2023-02-06,106.38,106.71,105.06,106.13,949805
2023-02-07,110.12,111.33,110.1,110.73,632114
2023-02-08,110.36,110.47,110.17,110.21,982940
2023-02-09,111.41,111.91,110.8,110.85,1122662
2023-02-10,109.25,111.11,108.15,109.59,563679
2023-02-13,113.02,114.2,111.6,113.29,930596
2023-02-14,111.71,113.95,111.62,113.27,1257366
2023-02-15,109.99,110.11,108.65,109.23,994465
2023-02-16,107.23,107.79,107.12,107.63,1073631
2023-02-17,109.23,109.89,109.14,109.54,1075527
2023-02-20,109.97,110.01,108.94,109.55,1009316
2023-02-21,111.12,111.28,110.71,110.87,1142414
2023-02-22,110.1,110.42,109.77,110.08,1306758
2023-02-23,108.37,110.36,107.18,109.17,454664
2023-02-24,109.86,110.45,109.54,110.19,1115867
2023-02-27,111.63,111.68,111.56,111.56,1275707
2023-02-28,106.4,107.94,105.87,107.78,1118614
2023-03-01,110.83,112.36,110.5,110.87,792794
2023-03-02,108.37,110.25,107.96,108.17,1233022
2023-03-03,108.08,110.71,107.04,107.73,825609
2023-03-06,106.47,107.06,105.62,105.75,743632
2023-03-07,103.42,103.64,102.86,103.3,953707
2023-03-08,107.65,110.92,106.85,108.92,1187665
