request_time,response_time,api_path,status_code
2024-01-15 08:00:00.000000,2024-01-15 08:00:00.050000,/api/users,200
2024/01/15 08:00:00,2024/01/15 08:00:00.180,/api/products,200
15-Jan-2024 08:00:00,15-Jan-2024 08:00:00.320,/api/orders,200
2024-01-15 08:00:00.300000,2024-01-15 08:00:00.340000,/api/users,200
invalid-time,2024-01-15 08:00:00.460000,/api/invalid,500
2024-01-15 08:00:00.500000,invalid-response,/api/invalid2,500
2024-01-15 08:00:00.600000,2024-01-15 08:00:00.620000,/api/users,200
2024/01/15 08:00:00.700,2024/01/15 08:00:00.850,/api/products,500
15-Jan-2024 08:00:00.800,15-Jan-2024 08:00:00.920,/api/orders,200
2024-01-15 08:00:00.900000,2024-01-15 08:00:00.930000,/api/users,200
2024-01-15 08:00:1.000000,2024-01-15 08:00:1.100000,/api/products,200
2024-01-15 08:00:1.100000,2024-01-15 08:00:1.300000,/api/orders,200
missing,fields,only,
2024-01-15 08:00:1.200000,2024-01-15 08:00:1.240000,/api/users,200
2024-01-15 08:00:1.300000,2024-01-15 08:00:1.480000,/api/products,200
2024-01-15 08:00:1.400000,2024-01-15 08:00:1.550000,/api/orders,404
2024-01-15 08:00:1.500000,2024-01-15 08:00:1.530000,/api/users,200
bad-status,2024-01-15 08:00:1.720000,/api/invalid3,xyz
2024-01-15 08:00:1.700000,2024-01-15 08:00:1.880000,/api/orders,200
2024-01-15 08:00:1.800000,2024-01-15 08:00:1.820000,/api/users,200
2024-01-15 08:00:1.900000,2024-01-15 08:00:2.100000,/api/products,200
